query,intent,entities
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my  appointment for in two days,cancel_test,{'TIME': 'in two days'}
Retrieve my blood test results from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'August 30th'}"
Retrieve my prescription from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'March 5th'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
Can I take my medications before an ECG?,medical_query,{}
Cancel my CT scan appointment for  March 5th,cancel_test,"{'TEST_TYPE': 'CT scan', 'DATE': 'March 5th'}"
Is an ultrasound painful?,medical_query,{}
I want to book a ECG for afternoon,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'afternoon'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Cancel my ultrasound appointment for,cancel_test,{'TEST_TYPE': 'ultrasound'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Can I drink coffee before an ultrasound?,medical_query,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my MRI scan from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'March 5th'}"
I want to book a cholesterol test for afternoon March 5th,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'afternoon', 'DATE': 'March 5th'}"
Cancel my  appointment for afternoon,cancel_test,{'TIME': 'afternoon'}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Is an ultrasound painful?,medical_query,{}
I want to book a ultrasound for morning,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'morning'}"
I want to book a cholesterol test for in two days June 21st,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'in two days', 'DATE': 'June 21st'}"
Retrieve my discharge summary from September 2nd,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'September 2nd'}"
Is an ultrasound painful?,medical_query,{}
I want to book a MRI for evening April 10th,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'evening', 'DATE': 'April 10th'}"
Is it safe to eat before a cholesterol test?,medical_query,{}
Retrieve my prescription from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'April 10th'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my X-ray appointment for next week August 30th,cancel_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'next week', 'DATE': 'August 30th'}"
I want to book a X-ray for in two days April 10th,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'in two days', 'DATE': 'April 10th'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
Is an ultrasound painful?,medical_query,{}
Cancel my MRI appointment for night,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'night'}"
I want to book a ECG for night,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'night'}"
I want to book a ECG for tomorrow August 30th,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'tomorrow', 'DATE': 'August 30th'}"
Cancel my blood test appointment for afternoon August 30th,cancel_test,"{'TEST_TYPE': 'blood test', 'TIME': 'afternoon', 'DATE': 'August 30th'}"
What should I wear for an X-ray?,medical_query,{}
Can I take my medications before an ECG?,medical_query,{}
Retrieve my MRI scan from September 2nd,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'September 2nd'}"
Cancel my X-ray appointment for in two days March 5th,cancel_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'in two days', 'DATE': 'March 5th'}"
How long does a CT scan take?,medical_query,{}
I want to book a blood test for tomorrow September 2nd,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'tomorrow', 'DATE': 'September 2nd'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
I want to book a X-ray for  August 30th,book_test,"{'TEST_TYPE': 'X-ray', 'DATE': 'August 30th'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my thyroid test appointment for  September 2nd,cancel_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'September 2nd'}"
What should I wear for an X-ray?,medical_query,{}
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a ultrasound for morning March 5th,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'morning', 'DATE': 'March 5th'}"
What should I wear for an X-ray?,medical_query,{}
Cancel my X-ray appointment for next month July 15th,cancel_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'next month', 'DATE': 'July 15th'}"
Cancel my  appointment for  September 2nd,cancel_test,{'DATE': 'September 2nd'}
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a ultrasound for morning,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'morning'}"
I want to book a MRI for evening,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'evening'}"
Cancel my ECG appointment for  August 30th,cancel_test,"{'TEST_TYPE': 'ECG', 'DATE': 'August 30th'}"
I want to book a MRI for  June 21st,book_test,"{'TEST_TYPE': 'MRI', 'DATE': 'June 21st'}"
Is it safe to eat before a cholesterol test?,medical_query,{}
I want to book a X-ray for next week,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'next week'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Do I need to avoid metal objects for an MRI?,medical_query,{}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my MRI scan from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'April 10th'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a cholesterol test for next week September 2nd,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'next week', 'DATE': 'September 2nd'}"
I want to book a ECG for  August 30th,book_test,"{'TEST_TYPE': 'ECG', 'DATE': 'August 30th'}"
Retrieve my prescription from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'August 30th'}"
Can I take my medications before an ECG?,medical_query,{}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Can I take my medications before an ECG?,medical_query,{}
Retrieve my X-ray report from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'June 21st'}"
Cancel my X-ray appointment for afternoon August 30th,cancel_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'afternoon', 'DATE': 'August 30th'}"
Retrieve my X-ray report from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'August 30th'}"
What should I wear for an X-ray?,medical_query,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Can I take my medications before an ECG?,medical_query,{}
Cancel my  appointment for next week April 10th,cancel_test,"{'TIME': 'next week', 'DATE': 'April 10th'}"
Cancel my  appointment for tomorrow September 2nd,cancel_test,"{'TIME': 'tomorrow', 'DATE': 'September 2nd'}"
How long does a CT scan take?,medical_query,{}
Cancel my  appointment for in two days August 30th,cancel_test,"{'TIME': 'in two days', 'DATE': 'August 30th'}"
What should I wear for an X-ray?,medical_query,{}
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a blood test for tomorrow,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'tomorrow'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my blood test appointment for in two days,cancel_test,"{'TEST_TYPE': 'blood test', 'TIME': 'in two days'}"
Can I take my medications before an ECG?,medical_query,{}
Should I fast before my blood test?,medical_query,{}
I want to book a MRI for in two days March 5th,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'in two days', 'DATE': 'March 5th'}"
I want to book a blood test for night June 21st,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'night', 'DATE': 'June 21st'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a CT scan for morning,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'morning'}"
I want to book a ECG for evening,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'evening'}"
I want to book a ultrasound for evening,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'evening'}"
Cancel my  appointment for  July 15th,cancel_test,{'DATE': 'July 15th'}
Retrieve my prescription from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'June 21st'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
How long does a CT scan take?,medical_query,{}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my  appointment for  April 10th,cancel_test,{'DATE': 'April 10th'}
I want to book a cholesterol test for afternoon March 5th,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'afternoon', 'DATE': 'March 5th'}"
How long does a CT scan take?,medical_query,{}
Cancel my  appointment for evening,cancel_test,{'TIME': 'evening'}
Is an ultrasound painful?,medical_query,{}
How long does a CT scan take?,medical_query,{}
I want to book a X-ray for tomorrow March 5th,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'tomorrow', 'DATE': 'March 5th'}"
Retrieve my blood test results from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'April 10th'}"
Is it safe to eat before a cholesterol test?,medical_query,{}
Cancel my  appointment for  September 2nd,cancel_test,{'DATE': 'September 2nd'}
I want to book a blood test for,book_test,{'TEST_TYPE': 'blood test'}
I want to book a X-ray for tomorrow June 21st,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'tomorrow', 'DATE': 'June 21st'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
I want to book a blood test for,book_test,{'TEST_TYPE': 'blood test'}
Retrieve my prescription from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'June 21st'}"
I want to book a MRI for afternoon June 21st,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'afternoon', 'DATE': 'June 21st'}"
Cancel my cholesterol test appointment for,cancel_test,{'TEST_TYPE': 'cholesterol test'}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a CT scan for in two days August 30th,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'in two days', 'DATE': 'August 30th'}"
Cancel my ECG appointment for in two days August 30th,cancel_test,"{'TEST_TYPE': 'ECG', 'TIME': 'in two days', 'DATE': 'August 30th'}"
Can I drink coffee before an ultrasound?,medical_query,{}
I want to book a ECG for next week July 15th,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'next week', 'DATE': 'July 15th'}"
Can I take my medications before an ECG?,medical_query,{}
Should I fast before my blood test?,medical_query,{}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my  appointment for afternoon June 21st,cancel_test,"{'TIME': 'afternoon', 'DATE': 'June 21st'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a blood test for in two days,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'in two days'}"
Cancel my blood test appointment for afternoon August 30th,cancel_test,"{'TEST_TYPE': 'blood test', 'TIME': 'afternoon', 'DATE': 'August 30th'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my cholesterol test appointment for next week August 30th,cancel_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'next week', 'DATE': 'August 30th'}"
Cancel my  appointment for next week September 2nd,cancel_test,"{'TIME': 'next week', 'DATE': 'September 2nd'}"
I want to book a MRI for morning,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'morning'}"
Cancel my  appointment for morning June 21st,cancel_test,"{'TIME': 'morning', 'DATE': 'June 21st'}"
How long does a CT scan take?,medical_query,{}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Cancel my ECG appointment for next week,cancel_test,"{'TEST_TYPE': 'ECG', 'TIME': 'next week'}"
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Is an ultrasound painful?,medical_query,{}
Cancel my blood test appointment for  July 15th,cancel_test,"{'TEST_TYPE': 'blood test', 'DATE': 'July 15th'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Retrieve my prescription from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'April 10th'}"
What should I wear for an X-ray?,medical_query,{}
I want to book a ultrasound for  March 5th,book_test,"{'TEST_TYPE': 'ultrasound', 'DATE': 'March 5th'}"
I want to book a ultrasound for evening September 2nd,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'evening', 'DATE': 'September 2nd'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Is an ultrasound painful?,medical_query,{}
Cancel my MRI appointment for next week July 15th,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'next week', 'DATE': 'July 15th'}"
I want to book a cholesterol test for next week,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'next week'}"
How long does a CT scan take?,medical_query,{}
Cancel my X-ray appointment for evening,cancel_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'evening'}"
Can I drink coffee before an ultrasound?,medical_query,{}
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Is it safe to eat before a cholesterol test?,medical_query,{}
How long does a CT scan take?,medical_query,{}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I want to book a MRI for morning,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'morning'}"
Cancel my  appointment for next week April 10th,cancel_test,"{'TIME': 'next week', 'DATE': 'April 10th'}"
Cancel my blood test appointment for next month June 21st,cancel_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next month', 'DATE': 'June 21st'}"
Can I take my medications before an ECG?,medical_query,{}
How long does a CT scan take?,medical_query,{}
Retrieve my prescription from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'March 5th'}"
Cancel my ultrasound appointment for  June 21st,cancel_test,"{'TEST_TYPE': 'ultrasound', 'DATE': 'June 21st'}"
I want to book a cholesterol test for next month March 5th,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'next month', 'DATE': 'March 5th'}"
I want to book a ultrasound for next week August 30th,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'next week', 'DATE': 'August 30th'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Do I need to avoid metal objects for an MRI?,medical_query,{}
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my blood test results from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'August 30th'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
Cancel my MRI appointment for tomorrow April 10th,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'tomorrow', 'DATE': 'April 10th'}"
Retrieve my blood test results from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'August 30th'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a X-ray for night September 2nd,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'night', 'DATE': 'September 2nd'}"
Cancel my CT scan appointment for  September 2nd,cancel_test,"{'TEST_TYPE': 'CT scan', 'DATE': 'September 2nd'}"
Cancel my  appointment for evening August 30th,cancel_test,"{'TIME': 'evening', 'DATE': 'August 30th'}"
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I want to book a blood test for night July 15th,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'night', 'DATE': 'July 15th'}"
Cancel my X-ray appointment for night June 21st,cancel_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'night', 'DATE': 'June 21st'}"
Cancel my  appointment for  March 5th,cancel_test,{'DATE': 'March 5th'}
I want to book a CT scan for morning August 30th,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'morning', 'DATE': 'August 30th'}"
Cancel my  appointment for night,cancel_test,{'TIME': 'night'}
I want to book a CT scan for,book_test,{'TEST_TYPE': 'CT scan'}
Retrieve my prescription from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'June 21st'}"
Cancel my thyroid test appointment for,cancel_test,{'TEST_TYPE': 'thyroid test'}
Cancel my ultrasound appointment for afternoon,cancel_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'afternoon'}"
How long does a CT scan take?,medical_query,{}
I want to book a CT scan for,book_test,{'TEST_TYPE': 'CT scan'}
How long does a CT scan take?,medical_query,{}
I want to book a cholesterol test for tomorrow April 10th,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'tomorrow', 'DATE': 'April 10th'}"
Cancel my  appointment for in two days June 21st,cancel_test,"{'TIME': 'in two days', 'DATE': 'June 21st'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I want to book a MRI for night March 5th,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'night', 'DATE': 'March 5th'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
I want to book a MRI for  March 5th,book_test,"{'TEST_TYPE': 'MRI', 'DATE': 'March 5th'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Retrieve my MRI scan from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'June 21st'}"
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
Is it safe to eat before a cholesterol test?,medical_query,{}
What should I wear for an X-ray?,medical_query,{}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Retrieve my X-ray report from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'July 15th'}"
Retrieve my blood test results from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'April 10th'}"
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my ECG appointment for,cancel_test,{'TEST_TYPE': 'ECG'}
Retrieve my prescription from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'April 10th'}"
I want to book a cholesterol test for next week,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'next week'}"
Should I fast before my blood test?,medical_query,{}
Retrieve my MRI scan from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'August 30th'}"
I want to book a cholesterol test for afternoon,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'afternoon'}"
I want to book a ECG for next month July 15th,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'next month', 'DATE': 'July 15th'}"
What should I wear for an X-ray?,medical_query,{}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Is it safe to eat before a cholesterol test?,medical_query,{}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Cancel my  appointment for evening,cancel_test,{'TIME': 'evening'}
I want to book a X-ray for  September 2nd,book_test,"{'TEST_TYPE': 'X-ray', 'DATE': 'September 2nd'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
How long does a CT scan take?,medical_query,{}
I want to book a CT scan for morning,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'morning'}"
Retrieve my blood test results from September 2nd,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'September 2nd'}"
Is it safe to eat before a cholesterol test?,medical_query,{}
Can I take my medications before an ECG?,medical_query,{}
I want to book a ECG for night March 5th,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'night', 'DATE': 'March 5th'}"
I want to book a blood test for  March 5th,book_test,"{'TEST_TYPE': 'blood test', 'DATE': 'March 5th'}"
I want to book a MRI for next week April 10th,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'next week', 'DATE': 'April 10th'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
I want to book a thyroid test for next month April 10th,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next month', 'DATE': 'April 10th'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Do I need to avoid metal objects for an MRI?,medical_query,{}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Cancel my thyroid test appointment for next month,cancel_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next month'}"
Is it safe to eat before a cholesterol test?,medical_query,{}
I want to book a X-ray for in two days August 30th,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'in two days', 'DATE': 'August 30th'}"
I want to book a blood test for morning September 2nd,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'morning', 'DATE': 'September 2nd'}"
Cancel my blood test appointment for afternoon April 10th,cancel_test,"{'TEST_TYPE': 'blood test', 'TIME': 'afternoon', 'DATE': 'April 10th'}"
Cancel my blood test appointment for  July 15th,cancel_test,"{'TEST_TYPE': 'blood test', 'DATE': 'July 15th'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my thyroid test appointment for next week,cancel_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next week'}"
Cancel my  appointment for  August 30th,cancel_test,{'DATE': 'August 30th'}
How long does a CT scan take?,medical_query,{}
I want to book a blood test for  April 10th,book_test,"{'TEST_TYPE': 'blood test', 'DATE': 'April 10th'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Cancel my ultrasound appointment for night April 10th,cancel_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'night', 'DATE': 'April 10th'}"
I want to book a cholesterol test for evening August 30th,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'evening', 'DATE': 'August 30th'}"
I want to book a X-ray for next week April 10th,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'next week', 'DATE': 'April 10th'}"
Is an ultrasound painful?,medical_query,{}
Retrieve my MRI scan from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'March 5th'}"
Can I take my medications before an ECG?,medical_query,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my  appointment for in two days July 15th,cancel_test,"{'TIME': 'in two days', 'DATE': 'July 15th'}"
I want to book a blood test for morning June 21st,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'morning', 'DATE': 'June 21st'}"
Can I take my medications before an ECG?,medical_query,{}
Can I take my medications before an ECG?,medical_query,{}
Can I take my medications before an ECG?,medical_query,{}
Cancel my thyroid test appointment for morning September 2nd,cancel_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'morning', 'DATE': 'September 2nd'}"
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
Is it safe to eat before a cholesterol test?,medical_query,{}
Cancel my X-ray appointment for,cancel_test,{'TEST_TYPE': 'X-ray'}
