query,intent,entities
Can you cancel my test next month?,cancel_test,{'TIME': 'next month'}
Can you analyze my CT scan report?,analyze_report,{'REPORT_TYPE': 'CT scan report'}
I want to upload my CT scan report.,upload_record,{'REPORT_TYPE': 'CT scan report'}
Fetch my ultrasound report.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'yesterday'}"
Need a MRI scheduled today.,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'today'}"
Can you cancel my test this Friday?,cancel_test,{'TIME': 'this Friday'}
Give me insights on my blood report.,analyze_report,{'REPORT_TYPE': 'blood report'}
"Here is my ultrasound report, please store it.",upload_record,{'REPORT_TYPE': 'ultrasound report'}
I need my CT scan report from last month.,retrieve_record,"{'REPORT_TYPE': 'CT scan report', 'DATE': 'last month'}"
Can I get a CT scan tomorrow?,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'tomorrow'}"
Can you cancel my test last Monday?,cancel_test,{'TIME': 'last Monday'}
Interpret my ultrasound report results.,analyze_report,{'REPORT_TYPE': 'ultrasound report'}
Can I upload my ultrasound report?,upload_record,{'REPORT_TYPE': 'ultrasound report'}
I need my ultrasound report from on March 5th.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'on March 5th'}"
I want to book a X-ray appointment this Friday.,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'this Friday'}"
Cancel my blood test scheduled on 15th March.,cancel_test,{'TIME': 'on 15th March'}
Interpret my ultrasound report results.,analyze_report,{'REPORT_TYPE': 'ultrasound report'}
"Here is my ECG report, please store it.",upload_record,{'REPORT_TYPE': 'ECG report'}
I need my X-ray report from last month.,retrieve_record,"{'REPORT_TYPE': 'X-ray report', 'DATE': 'last month'}"
I need a blood test on today.,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'today'}"
I need to cancel my CT scan on last Monday.,cancel_test,{'TIME': 'last Monday'}
What does my ultrasound report say?,analyze_report,{'REPORT_TYPE': 'ultrasound report'}
Save my blood report to my records.,upload_record,{'REPORT_TYPE': 'blood report'}
Retrieve my ultrasound report for on March 5th.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'on March 5th'}"
Schedule a blood test for next week.,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next week'}"
Cancel my MRI scheduled on 15th March.,cancel_test,{'TIME': 'on 15th March'}
What does my CT scan report say?,analyze_report,{'REPORT_TYPE': 'CT scan report'}
Save my ECG report to my records.,upload_record,{'REPORT_TYPE': 'ECG report'}
I need my ECG report from last month.,retrieve_record,"{'REPORT_TYPE': 'ECG report', 'DATE': 'last month'}"
I want to book a blood test appointment on 15th March.,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'on 15th March'}"
Cancel my ECG scheduled next month.,cancel_test,{'TIME': 'next month'}
Check my CT scan report and provide feedback.,analyze_report,{'REPORT_TYPE': 'CT scan report'}
"Here is my X-ray report, please store it.",upload_record,{'REPORT_TYPE': 'X-ray report'}
Retrieve my ultrasound report for on 10th February.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'on 10th February'}"
Need a CT scan scheduled day after tomorrow.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'day after tomorrow'}"
Please remove my appointment next month.,cancel_test,{'TIME': 'next month'}
What does my CT scan report say?,analyze_report,{'REPORT_TYPE': 'CT scan report'}
I want to upload my CT scan report.,upload_record,{'REPORT_TYPE': 'CT scan report'}
Can I get my ultrasound report from on March 5th?,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'on March 5th'}"
Please arrange a MRI test day after tomorrow.,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'day after tomorrow'}"
I need to cancel my ultrasound on next week.,cancel_test,{'TIME': 'next week'}
Give me insights on my CT scan report.,analyze_report,{'REPORT_TYPE': 'CT scan report'}
Save my ultrasound report to my records.,upload_record,{'REPORT_TYPE': 'ultrasound report'}
Retrieve my ECG report for on 10th February.,retrieve_record,"{'REPORT_TYPE': 'ECG report', 'DATE': 'on 10th February'}"
Can I get a blood test last Monday?,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'last Monday'}"
I need to cancel my blood test on next month.,cancel_test,{'TIME': 'next month'}
Check my MRI report and provide feedback.,analyze_report,{'REPORT_TYPE': 'MRI report'}
I want to upload my ECG report.,upload_record,{'REPORT_TYPE': 'ECG report'}
Fetch my ECG report.,retrieve_record,"{'REPORT_TYPE': 'ECG report', 'DATE': 'last month'}"
Need a CT scan scheduled today.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'today'}"
Cancel my MRI scheduled next month.,cancel_test,{'TIME': 'next month'}
Give me insights on my ultrasound report.,analyze_report,{'REPORT_TYPE': 'ultrasound report'}
Can I upload my blood report?,upload_record,{'REPORT_TYPE': 'blood report'}
Find my MRI report recorded on yesterday.,retrieve_record,"{'REPORT_TYPE': 'MRI report', 'DATE': 'yesterday'}"
I need a ECG on today.,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'today'}"
I need to cancel my ultrasound on tomorrow.,cancel_test,{'TIME': 'tomorrow'}
Give me insights on my X-ray report.,analyze_report,{'REPORT_TYPE': 'X-ray report'}
Save my CT scan report to my records.,upload_record,{'REPORT_TYPE': 'CT scan report'}
Retrieve my ECG report for on 10th February.,retrieve_record,"{'REPORT_TYPE': 'ECG report', 'DATE': 'on 10th February'}"
I need a CT scan on last Monday.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'last Monday'}"
Please remove my appointment tomorrow.,cancel_test,{'TIME': 'tomorrow'}
Interpret my X-ray report results.,analyze_report,{'REPORT_TYPE': 'X-ray report'}
Can I upload my X-ray report?,upload_record,{'REPORT_TYPE': 'X-ray report'}
Can I get my blood report from last week?,retrieve_record,"{'REPORT_TYPE': 'blood report', 'DATE': 'last week'}"
Can I get a ultrasound this Friday?,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'this Friday'}"
I need to cancel my ultrasound on next week.,cancel_test,{'TIME': 'next week'}
Check my MRI report and provide feedback.,analyze_report,{'REPORT_TYPE': 'MRI report'}
"Here is my blood report, please store it.",upload_record,{'REPORT_TYPE': 'blood report'}
Fetch my X-ray report.,retrieve_record,"{'REPORT_TYPE': 'X-ray report', 'DATE': 'last week'}"
Need a CT scan scheduled last Monday.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'last Monday'}"
I won't be available for my ECG test this Friday.,cancel_test,{'TIME': 'this Friday'}
Interpret my MRI report results.,analyze_report,{'REPORT_TYPE': 'MRI report'}
I want to upload my X-ray report.,upload_record,{'REPORT_TYPE': 'X-ray report'}
Find my ultrasound report recorded on yesterday.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'yesterday'}"
I need a blood test on next month.,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next month'}"
I won't be available for my X-ray test on 15th March.,cancel_test,{'TIME': 'on 15th March'}
Check my ECG report and provide feedback.,analyze_report,{'REPORT_TYPE': 'ECG report'}
"Uploading X-ray report, please process it.",upload_record,{'REPORT_TYPE': 'X-ray report'}
Find my CT scan report recorded on yesterday.,retrieve_record,"{'REPORT_TYPE': 'CT scan report', 'DATE': 'yesterday'}"
I want to book a blood test appointment last Monday.,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'last Monday'}"
Can you cancel my test on 15th March?,cancel_test,{'TIME': 'on 15th March'}
Interpret my MRI report results.,analyze_report,{'REPORT_TYPE': 'MRI report'}
Can I upload my CT scan report?,upload_record,{'REPORT_TYPE': 'CT scan report'}
Retrieve my ultrasound report for last month.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'last month'}"
I want to book a blood test appointment next week.,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next week'}"
Can you cancel my test day after tomorrow?,cancel_test,{'TIME': 'day after tomorrow'}
Check my X-ray report and provide feedback.,analyze_report,{'REPORT_TYPE': 'X-ray report'}
"Uploading CT scan report, please process it.",upload_record,{'REPORT_TYPE': 'CT scan report'}
I need my ultrasound report from last week.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'last week'}"
Need a ECG scheduled last Monday.,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'last Monday'}"
Cancel my MRI scheduled this Friday.,cancel_test,{'TIME': 'this Friday'}
Check my blood report and provide feedback.,analyze_report,{'REPORT_TYPE': 'blood report'}
I want to upload my ECG report.,upload_record,{'REPORT_TYPE': 'ECG report'}
I need my ultrasound report from yesterday.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'yesterday'}"
I want to book a ECG appointment day after tomorrow.,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'day after tomorrow'}"
I need to cancel my ultrasound on day after tomorrow.,cancel_test,{'TIME': 'day after tomorrow'}
Interpret my X-ray report results.,analyze_report,{'REPORT_TYPE': 'X-ray report'}
"Uploading blood report, please process it.",upload_record,{'REPORT_TYPE': 'blood report'}
Retrieve my ECG report for last week.,retrieve_record,"{'REPORT_TYPE': 'ECG report', 'DATE': 'last week'}"
Need a CT scan scheduled this Friday.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'this Friday'}"
I won't be available for my MRI test on 15th March.,cancel_test,{'TIME': 'on 15th March'}
Interpret my ECG report results.,analyze_report,{'REPORT_TYPE': 'ECG report'}
"Here is my CT scan report, please store it.",upload_record,{'REPORT_TYPE': 'CT scan report'}
I need my X-ray report from on 10th February.,retrieve_record,"{'REPORT_TYPE': 'X-ray report', 'DATE': 'on 10th February'}"
Schedule a blood test for next month.,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next month'}"
Cancel my X-ray scheduled today.,cancel_test,{'TIME': 'today'}
Give me insights on my MRI report.,analyze_report,{'REPORT_TYPE': 'MRI report'}
"Uploading ultrasound report, please process it.",upload_record,{'REPORT_TYPE': 'ultrasound report'}
Find my ultrasound report recorded on on 10th February.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'on 10th February'}"
I need a blood test on day after tomorrow.,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'day after tomorrow'}"
Please remove my appointment on 15th March.,cancel_test,{'TIME': 'on 15th March'}
Give me insights on my MRI report.,analyze_report,{'REPORT_TYPE': 'MRI report'}
"Uploading ultrasound report, please process it.",upload_record,{'REPORT_TYPE': 'ultrasound report'}
Retrieve my CT scan report for last week.,retrieve_record,"{'REPORT_TYPE': 'CT scan report', 'DATE': 'last week'}"
Please arrange a MRI test next week.,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'next week'}"
I won't be available for my CT scan test day after tomorrow.,cancel_test,{'TIME': 'day after tomorrow'}
Can you analyze my ultrasound report?,analyze_report,{'REPORT_TYPE': 'ultrasound report'}
"Here is my ECG report, please store it.",upload_record,{'REPORT_TYPE': 'ECG report'}
Fetch my ultrasound report.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'last month'}"
Schedule a ECG for next month.,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'next month'}"
Please remove my appointment this Friday.,cancel_test,{'TIME': 'this Friday'}
Interpret my X-ray report results.,analyze_report,{'REPORT_TYPE': 'X-ray report'}
I want to upload my X-ray report.,upload_record,{'REPORT_TYPE': 'X-ray report'}
Can I get my ECG report from on March 5th?,retrieve_record,"{'REPORT_TYPE': 'ECG report', 'DATE': 'on March 5th'}"
Need a ECG scheduled next month.,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'next month'}"
Can you cancel my test next week?,cancel_test,{'TIME': 'next week'}
What does my MRI report say?,analyze_report,{'REPORT_TYPE': 'MRI report'}
I want to upload my ultrasound report.,upload_record,{'REPORT_TYPE': 'ultrasound report'}
Find my MRI report recorded on on 10th February.,retrieve_record,"{'REPORT_TYPE': 'MRI report', 'DATE': 'on 10th February'}"
I want to book a blood test appointment next month.,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next month'}"
Cancel my CT scan scheduled on 15th March.,cancel_test,{'TIME': 'on 15th March'}
Can you analyze my MRI report?,analyze_report,{'REPORT_TYPE': 'MRI report'}
Save my X-ray report to my records.,upload_record,{'REPORT_TYPE': 'X-ray report'}
I need my CT scan report from on 10th February.,retrieve_record,"{'REPORT_TYPE': 'CT scan report', 'DATE': 'on 10th February'}"
Please arrange a CT scan test day after tomorrow.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'day after tomorrow'}"
Please remove my appointment next week.,cancel_test,{'TIME': 'next week'}
Interpret my CT scan report results.,analyze_report,{'REPORT_TYPE': 'CT scan report'}
"Here is my ECG report, please store it.",upload_record,{'REPORT_TYPE': 'ECG report'}
Retrieve my CT scan report for on 10th February.,retrieve_record,"{'REPORT_TYPE': 'CT scan report', 'DATE': 'on 10th February'}"
Schedule a CT scan for this Friday.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'this Friday'}"
I need to cancel my X-ray on last Monday.,cancel_test,{'TIME': 'last Monday'}
Interpret my blood report results.,analyze_report,{'REPORT_TYPE': 'blood report'}
"Uploading ultrasound report, please process it.",upload_record,{'REPORT_TYPE': 'ultrasound report'}
I need my CT scan report from on 10th February.,retrieve_record,"{'REPORT_TYPE': 'CT scan report', 'DATE': 'on 10th February'}"
Please arrange a CT scan test last Monday.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'last Monday'}"
Can you cancel my test today?,cancel_test,{'TIME': 'today'}
Give me insights on my MRI report.,analyze_report,{'REPORT_TYPE': 'MRI report'}
Save my ultrasound report to my records.,upload_record,{'REPORT_TYPE': 'ultrasound report'}
Retrieve my ultrasound report for on March 5th.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'on March 5th'}"
I want to book a ultrasound appointment on 15th March.,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'on 15th March'}"
Can you cancel my test on 15th March?,cancel_test,{'TIME': 'on 15th March'}
Check my CT scan report and provide feedback.,analyze_report,{'REPORT_TYPE': 'CT scan report'}
"Here is my X-ray report, please store it.",upload_record,{'REPORT_TYPE': 'X-ray report'}
Fetch my blood report.,retrieve_record,"{'REPORT_TYPE': 'blood report', 'DATE': 'last week'}"
I want to book a CT scan appointment this Friday.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'this Friday'}"
Please remove my appointment last Monday.,cancel_test,{'TIME': 'last Monday'}
Give me insights on my ECG report.,analyze_report,{'REPORT_TYPE': 'ECG report'}
I want to upload my ultrasound report.,upload_record,{'REPORT_TYPE': 'ultrasound report'}
Retrieve my ECG report for last month.,retrieve_record,"{'REPORT_TYPE': 'ECG report', 'DATE': 'last month'}"
Schedule a ECG for next month.,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'next month'}"
Cancel my ECG scheduled this Friday.,cancel_test,{'TIME': 'this Friday'}
Check my X-ray report and provide feedback.,analyze_report,{'REPORT_TYPE': 'X-ray report'}
I want to upload my MRI report.,upload_record,{'REPORT_TYPE': 'MRI report'}
Retrieve my ultrasound report for yesterday.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'yesterday'}"
Need a X-ray scheduled next month.,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'next month'}"
Cancel my ultrasound scheduled day after tomorrow.,cancel_test,{'TIME': 'day after tomorrow'}
Interpret my ECG report results.,analyze_report,{'REPORT_TYPE': 'ECG report'}
"Here is my ultrasound report, please store it.",upload_record,{'REPORT_TYPE': 'ultrasound report'}
Find my ECG report recorded on on 10th February.,retrieve_record,"{'REPORT_TYPE': 'ECG report', 'DATE': 'on 10th February'}"
Can I get a ultrasound on 15th March?,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'on 15th March'}"
Can you cancel my test next month?,cancel_test,{'TIME': 'next month'}
Can you analyze my ECG report?,analyze_report,{'REPORT_TYPE': 'ECG report'}
"Here is my CT scan report, please store it.",upload_record,{'REPORT_TYPE': 'CT scan report'}
Find my MRI report recorded on yesterday.,retrieve_record,"{'REPORT_TYPE': 'MRI report', 'DATE': 'yesterday'}"
Can I get a MRI tomorrow?,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'tomorrow'}"
Cancel my X-ray scheduled day after tomorrow.,cancel_test,{'TIME': 'day after tomorrow'}
Give me insights on my X-ray report.,analyze_report,{'REPORT_TYPE': 'X-ray report'}
"Here is my ultrasound report, please store it.",upload_record,{'REPORT_TYPE': 'ultrasound report'}
Can I get my MRI report from last week?,retrieve_record,"{'REPORT_TYPE': 'MRI report', 'DATE': 'last week'}"
Can I get a X-ray next week?,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'next week'}"
I need to cancel my MRI on last Monday.,cancel_test,{'TIME': 'last Monday'}
What does my blood report say?,analyze_report,{'REPORT_TYPE': 'blood report'}
Can I upload my blood report?,upload_record,{'REPORT_TYPE': 'blood report'}
Retrieve my MRI report for last month.,retrieve_record,"{'REPORT_TYPE': 'MRI report', 'DATE': 'last month'}"
Can I get a ultrasound today?,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'today'}"
I won't be available for my ultrasound test last Monday.,cancel_test,{'TIME': 'last Monday'}
Interpret my MRI report results.,analyze_report,{'REPORT_TYPE': 'MRI report'}
I want to upload my X-ray report.,upload_record,{'REPORT_TYPE': 'X-ray report'}
Find my MRI report recorded on yesterday.,retrieve_record,"{'REPORT_TYPE': 'MRI report', 'DATE': 'yesterday'}"
I want to book a X-ray appointment next month.,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'next month'}"
Can you cancel my test last Monday?,cancel_test,{'TIME': 'last Monday'}
Check my blood report and provide feedback.,analyze_report,{'REPORT_TYPE': 'blood report'}
"Here is my MRI report, please store it.",upload_record,{'REPORT_TYPE': 'MRI report'}
Find my ultrasound report recorded on last week.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'last week'}"
I need a X-ray on on 15th March.,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'on 15th March'}"
I need to cancel my ultrasound on this Friday.,cancel_test,{'TIME': 'this Friday'}
What does my blood report say?,analyze_report,{'REPORT_TYPE': 'blood report'}
"Here is my ultrasound report, please store it.",upload_record,{'REPORT_TYPE': 'ultrasound report'}
Find my ultrasound report recorded on yesterday.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'yesterday'}"
I want to book a ultrasound appointment tomorrow.,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'tomorrow'}"
Please remove my appointment today.,cancel_test,{'TIME': 'today'}
What does my blood report say?,analyze_report,{'REPORT_TYPE': 'blood report'}
Can I upload my X-ray report?,upload_record,{'REPORT_TYPE': 'X-ray report'}
Find my blood report recorded on last month.,retrieve_record,"{'REPORT_TYPE': 'blood report', 'DATE': 'last month'}"
Schedule a blood test for next week.,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next week'}"
I need to cancel my ECG on today.,cancel_test,{'TIME': 'today'}
Check my ultrasound report and provide feedback.,analyze_report,{'REPORT_TYPE': 'ultrasound report'}
Can I upload my X-ray report?,upload_record,{'REPORT_TYPE': 'X-ray report'}
Can I get my CT scan report from yesterday?,retrieve_record,"{'REPORT_TYPE': 'CT scan report', 'DATE': 'yesterday'}"
Please arrange a CT scan test next week.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'next week'}"
Can you cancel my test next month?,cancel_test,{'TIME': 'next month'}
What does my ultrasound report say?,analyze_report,{'REPORT_TYPE': 'ultrasound report'}
Save my ECG report to my records.,upload_record,{'REPORT_TYPE': 'ECG report'}
Find my ultrasound report recorded on on March 5th.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'on March 5th'}"
I want to book a blood test appointment on 15th March.,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'on 15th March'}"
Please remove my appointment on 15th March.,cancel_test,{'TIME': 'on 15th March'}
Interpret my ultrasound report results.,analyze_report,{'REPORT_TYPE': 'ultrasound report'}
"Uploading ECG report, please process it.",upload_record,{'REPORT_TYPE': 'ECG report'}
I need my ultrasound report from on 10th February.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'on 10th February'}"
I want to book a MRI appointment next week.,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'next week'}"
Can you cancel my test last Monday?,cancel_test,{'TIME': 'last Monday'}
Can you analyze my ECG report?,analyze_report,{'REPORT_TYPE': 'ECG report'}
"Uploading X-ray report, please process it.",upload_record,{'REPORT_TYPE': 'X-ray report'}
Can I get my CT scan report from last month?,retrieve_record,"{'REPORT_TYPE': 'CT scan report', 'DATE': 'last month'}"
Need a CT scan scheduled day after tomorrow.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'day after tomorrow'}"
I need to cancel my MRI on this Friday.,cancel_test,{'TIME': 'this Friday'}
Give me insights on my MRI report.,analyze_report,{'REPORT_TYPE': 'MRI report'}
"Uploading MRI report, please process it.",upload_record,{'REPORT_TYPE': 'MRI report'}
Fetch my CT scan report.,retrieve_record,"{'REPORT_TYPE': 'CT scan report', 'DATE': 'yesterday'}"
Please arrange a MRI test next week.,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'next week'}"
I need to cancel my blood test on day after tomorrow.,cancel_test,{'TIME': 'day after tomorrow'}
Can you analyze my ECG report?,analyze_report,{'REPORT_TYPE': 'ECG report'}
Can I upload my ECG report?,upload_record,{'REPORT_TYPE': 'ECG report'}
Retrieve my X-ray report for yesterday.,retrieve_record,"{'REPORT_TYPE': 'X-ray report', 'DATE': 'yesterday'}"
I want to book a X-ray appointment this Friday.,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'this Friday'}"
Can you cancel my test day after tomorrow?,cancel_test,{'TIME': 'day after tomorrow'}
What does my ultrasound report say?,analyze_report,{'REPORT_TYPE': 'ultrasound report'}
"Uploading MRI report, please process it.",upload_record,{'REPORT_TYPE': 'MRI report'}
I need my CT scan report from yesterday.,retrieve_record,"{'REPORT_TYPE': 'CT scan report', 'DATE': 'yesterday'}"
Schedule a CT scan for next week.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'next week'}"
Can you cancel my test next month?,cancel_test,{'TIME': 'next month'}
Interpret my CT scan report results.,analyze_report,{'REPORT_TYPE': 'CT scan report'}
Save my MRI report to my records.,upload_record,{'REPORT_TYPE': 'MRI report'}
I need my MRI report from yesterday.,retrieve_record,"{'REPORT_TYPE': 'MRI report', 'DATE': 'yesterday'}"
Need a ECG scheduled on 15th March.,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'on 15th March'}"
I won't be available for my blood test test today.,cancel_test,{'TIME': 'today'}
What does my ECG report say?,analyze_report,{'REPORT_TYPE': 'ECG report'}
"Here is my CT scan report, please store it.",upload_record,{'REPORT_TYPE': 'CT scan report'}
Find my MRI report recorded on on 10th February.,retrieve_record,"{'REPORT_TYPE': 'MRI report', 'DATE': 'on 10th February'}"
Please arrange a X-ray test tomorrow.,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'tomorrow'}"
I need to cancel my ultrasound on last Monday.,cancel_test,{'TIME': 'last Monday'}
Give me insights on my CT scan report.,analyze_report,{'REPORT_TYPE': 'CT scan report'}
Save my ECG report to my records.,upload_record,{'REPORT_TYPE': 'ECG report'}
Fetch my X-ray report.,retrieve_record,"{'REPORT_TYPE': 'X-ray report', 'DATE': 'yesterday'}"
Need a ECG scheduled last Monday.,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'last Monday'}"
Can you cancel my test this Friday?,cancel_test,{'TIME': 'this Friday'}
Give me insights on my X-ray report.,analyze_report,{'REPORT_TYPE': 'X-ray report'}
Save my ultrasound report to my records.,upload_record,{'REPORT_TYPE': 'ultrasound report'}
Retrieve my blood report for on March 5th.,retrieve_record,"{'REPORT_TYPE': 'blood report', 'DATE': 'on March 5th'}"
Can I get a CT scan next week?,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'next week'}"
Cancel my MRI scheduled this Friday.,cancel_test,{'TIME': 'this Friday'}
Give me insights on my CT scan report.,analyze_report,{'REPORT_TYPE': 'CT scan report'}
"Here is my ECG report, please store it.",upload_record,{'REPORT_TYPE': 'ECG report'}
Can I get my ultrasound report from last month?,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'last month'}"
Need a CT scan scheduled on 15th March.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'on 15th March'}"
Please remove my appointment next week.,cancel_test,{'TIME': 'next week'}
Check my blood report and provide feedback.,analyze_report,{'REPORT_TYPE': 'blood report'}
Save my X-ray report to my records.,upload_record,{'REPORT_TYPE': 'X-ray report'}
I need my ultrasound report from yesterday.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'yesterday'}"
I need a blood test on on 15th March.,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'on 15th March'}"
Please remove my appointment today.,cancel_test,{'TIME': 'today'}
Check my X-ray report and provide feedback.,analyze_report,{'REPORT_TYPE': 'X-ray report'}
"Here is my blood report, please store it.",upload_record,{'REPORT_TYPE': 'blood report'}
I need my blood report from last month.,retrieve_record,"{'REPORT_TYPE': 'blood report', 'DATE': 'last month'}"
Need a CT scan scheduled today.,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'today'}"
Can you cancel my test last Monday?,cancel_test,{'TIME': 'last Monday'}
